CIK,Company Name,Form Type,Date Filed,Filename,local_path,SEC_url,SIC
1109881,GIFTCERTIFICATES COM INC,S-1,2000-06-13,1109881_0000950123-00-005760.htm,./data/S-1/2000/QTR2/1109881_0000950123-00-005760,https://www.sec.gov/Archives/edgar/data/1109881/000095012300005760/0000950123-00-005760-index.htm,7389
1110700,AVANTGO INC,S-1,2000-06-08,1110700_0001012870-00-003290.htm,./data/S-1/2000/QTR2/1110700_0001012870-00-003290,https://www.sec.gov/Archives/edgar/data/1110700/000101287000003290/0001012870-00-003290-index.htm,7371
1110794,GENUITY INC,S-1,2000-04-07,1110794_0000927016-00-001227.htm,./data/S-1/2000/QTR2/1110794_0000927016-00-001227,https://www.sec.gov/Archives/edgar/data/1110794/000092701600001227/0000927016-00-001227-index.htm,7370
1110807,KINZAN COM,S-1,2000-04-28,1110807_0000912057-00-020419.htm,./data/S-1/2000/QTR2/1110807_0000912057-00-020419,https://www.sec.gov/Archives/edgar/data/1110807/000091205700020419/0000912057-00-020419-index.htm,7371
1110903,NETWORK ENGINES INC,S-1,2000-04-07,1110903_0000927016-00-001221.htm,./data/S-1/2000/QTR2/1110903_0000927016-00-001221,https://www.sec.gov/Archives/edgar/data/1110903/000092701600001221/0000927016-00-001221-index.htm,7372
1111000,LEADERSONLINE INC,S-1,2000-04-10,1111000_0001017062-00-000878.htm,./data/S-1/2000/QTR2/1111000_0001017062-00-000878,https://www.sec.gov/Archives/edgar/data/1111000/000101706200000878/0001017062-00-000878-index.htm,7389
1111001,CORIO INC,S-1,2000-04-21,1111001_0000891618-00-002269.htm,./data/S-1/2000/QTR2/1111001_0000891618-00-002269,https://www.sec.gov/Archives/edgar/data/1111001/000089161800002269/0000891618-00-002269-index.htm,7371
1111147,THRUPOINT INC,S-1,2000-04-20,1111147_0000912057-00-018856.htm,./data/S-1/2000/QTR2/1111147_0000912057-00-018856,https://www.sec.gov/Archives/edgar/data/1111147/000091205700018856/0000912057-00-018856-index.htm,7371
1111247,RIGHTNOW TECHNOLOGIES INC,S-1,2000-04-20,1111247_0001012870-00-002252.htm,./data/S-1/2000/QTR2/1111247_0001012870-00-002252,https://www.sec.gov/Archives/edgar/data/1111247/000101287000002252/0001012870-00-002252-index.htm,7372
1111288,CRUEL WORLD INC,S-1,2000-04-10,1111288_0000912057-00-017262.htm,./data/S-1/2000/QTR2/1111288_0000912057-00-017262,https://www.sec.gov/Archives/edgar/data/1111288/000091205700017262/0000912057-00-017262-index.htm,7389
1111289,ELEMENT K CORP,S-1,2000-05-09,1111289_0000950123-00-004698.htm,./data/S-1/2000/QTR2/1111289_0000950123-00-004698,https://www.sec.gov/Archives/edgar/data/1111289/000095012300004698/0000950123-00-004698-index.htm,7389
1111345,SPEECHWORKS INTERNATIONAL INC,S-1,2000-04-19,1111345_0000927016-00-001394.htm,./data/S-1/2000/QTR2/1111345_0000927016-00-001394,https://www.sec.gov/Archives/edgar/data/1111345/000092701600001394/0000927016-00-001394-index.htm,7372
1111557,PROTOCOL COMMUNICATIONS INC,S-1,2000-04-17,1111557_0000950123-00-003730.htm,./data/S-1/2000/QTR2/1111557_0000950123-00-003730,https://www.sec.gov/Archives/edgar/data/1111557/000095012300003730/0000950123-00-003730-index.htm,7389
1111665,TELECOMMUNICATION SYSTEMS INC /FA/,S-1,2000-04-25,1111665_0000950133-00-001653.htm,./data/S-1/2000/QTR2/1111665_0000950133-00-001653,https://www.sec.gov/Archives/edgar/data/1111665/000095013300001653/0000950133-00-001653-index.htm,7372
1111693,MOREDIRECT COM INC,S-1,2000-04-18,1111693_0000950144-00-005186.htm,./data/S-1/2000/QTR2/1111693_0000950144-00-005186,https://www.sec.gov/Archives/edgar/data/1111693/000095014400005186/0000950144-00-005186-index.htm,7389
1112319,PHASE2MEDIA INC,S-1,2000-05-11,1112319_0000940180-00-000580.htm,./data/S-1/2000/QTR2/1112319_0000940180-00-000580,https://www.sec.gov/Archives/edgar/data/1112319/000094018000000580/0000940180-00-000580-index.htm,7389
1112479,LINEO INC,S-1,2000-05-18,1112479_0000912057-00-025509.htm,./data/S-1/2000/QTR2/1112479_0000912057-00-025509,https://www.sec.gov/Archives/edgar/data/1112479/000091205700025509/0000912057-00-025509-index.htm,7371
1112828,FORT POINT PARTNERS INC,S-1,2000-05-03,1112828_0000950149-00-001010.htm,./data/S-1/2000/QTR2/1112828_0000950149-00-001010,https://www.sec.gov/Archives/edgar/data/1112828/000095014900001010/0000950149-00-001010-index.htm,7389
1113129,VELOCITYHSI INC,S-1,2000-05-03,1113129_0001017062-00-001069.htm,./data/S-1/2000/QTR2/1113129_0001017062-00-001069,https://www.sec.gov/Archives/edgar/data/1113129/000101706200001069/0001017062-00-001069-index.htm,7370
1113222,ACCOUNT 4 COM INC,S-1,2000-05-02,1113222_0000912057-00-021085.htm,./data/S-1/2000/QTR2/1113222_0000912057-00-021085,https://www.sec.gov/Archives/edgar/data/1113222/000091205700021085/0000912057-00-021085-index.htm,7372
1113674,KEY3MEDIA GROUP INC,S-1,2000-05-12,1113674_0000950130-00-002821.htm,./data/S-1/2000/QTR2/1113674_0000950130-00-002821,https://www.sec.gov/Archives/edgar/data/1113674/000095013000002821/0000950130-00-002821-index.htm,7389
1114040,VALICERT INC,S-1,2000-05-15,1114040_0001012870-00-002801.htm,./data/S-1/2000/QTR2/1114040_0001012870-00-002801,https://www.sec.gov/Archives/edgar/data/1114040/000101287000002801/0001012870-00-002801-index.htm,7371
1114361,ARISTOTLE INTERNATIONAL INC,S-1,2000-05-15,1114361_0000929624-00-000710.htm,./data/S-1/2000/QTR2/1114361_0000929624-00-000710,https://www.sec.gov/Archives/edgar/data/1114361/000092962400000710/0000929624-00-000710-index.htm,7389
1114714,TALENTPOINT INC,S-1,2000-06-23,1114714_0000950109-00-002609.htm,./data/S-1/2000/QTR2/1114714_0000950109-00-002609,https://www.sec.gov/Archives/edgar/data/1114714/000095010900002609/0000950109-00-002609-index.htm,7372
1114841,INSESSION TECHNOLOGIES INC,S-1,2000-06-02,1114841_0000950109-00-500012.htm,./data/S-1/2000/QTR2/1114841_0000950109-00-500012,https://www.sec.gov/Archives/edgar/data/1114841/000095010900500012/0000950109-00-500012-index.htm,7372
1115371,RDA CORP,S-1,2000-06-02,1115371_0000928385-00-001680.htm,./data/S-1/2000/QTR2/1115371_0000928385-00-001680,https://www.sec.gov/Archives/edgar/data/1115371/000092838500001680/0000928385-00-001680-index.htm,7371
3959,INTERNET LAW LIBRARY INC,S-1,2000-06-16,3959_0000930661-00-001559.htm,./data/S-1/2000/QTR2/3959_0000930661-00-001559,https://www.sec.gov/Archives/edgar/data/3959/000093066100001559/0000930661-00-001559-index.htm,7370
800181,E-MEDSOFT COM,S-1,2000-05-15,800181_0000950153-00-000778.htm,./data/S-1/2000/QTR2/800181_0000950153-00-000778,https://www.sec.gov/Archives/edgar/data/800181/000095015300000778/0000950153-00-000778-index.htm,7374
826683,RATEXCHANGE CORP,S-1,2000-05-12,826683_0000950149-00-001122.htm,./data/S-1/2000/QTR2/826683_0000950149-00-001122,https://www.sec.gov/Archives/edgar/data/826683/000095014900001122/0000950149-00-001122-index.htm,7370
836690,INNOVATIVE SOLUTIONS & SUPPORT INC,S-1,2000-05-09,836690_0000950109-00-002007.htm,./data/S-1/2000/QTR2/836690_0000950109-00-002007,https://www.sec.gov/Archives/edgar/data/836690/000095010900002007/0000950109-00-002007-index.htm,7371
857914,TALARIAN CORP,S-1,2000-04-13,857914_0000891618-00-002144.htm,./data/S-1/2000/QTR2/857914_0000891618-00-002144,https://www.sec.gov/Archives/edgar/data/857914/000089161800002144/0000891618-00-002144-index.htm,7372
865753,INSTANT VIDEO TECHNOLOGIES INC,S-1,2000-04-17,865753_0000950005-00-000548.htm,./data/S-1/2000/QTR2/865753_0000950005-00-000548,https://www.sec.gov/Archives/edgar/data/865753/000095000500000548/0000950005-00-000548-index.htm,7373
899444,IMAGINON INC /DE/,S-1,2000-04-19,899444_0000927356-00-000831.htm,./data/S-1/2000/QTR2/899444_0000927356-00-000831,https://www.sec.gov/Archives/edgar/data/899444/000092735600000831/0000927356-00-000831-index.htm,7372
899444,IMAGINON INC /DE/,S-1,2000-05-10,899444_0000927356-00-000992.htm,./data/S-1/2000/QTR2/899444_0000927356-00-000992,https://www.sec.gov/Archives/edgar/data/899444/000092735600000992/0000927356-00-000992-index.htm,7372
1020416,TMP WORLDWIDE INC,S-1,2000-07-21,1020416_0000912057-00-032825.htm,./data/S-1/2000/QTR3/1020416_0000912057-00-032825,https://www.sec.gov/Archives/edgar/data/1020416/000091205700032825/0000912057-00-032825-index.htm,7311
1027362,SYNPLICITY INC,S-1,2000-07-25,1027362_0001012870-00-003941.htm,./data/S-1/2000/QTR3/1027362_0001012870-00-003941,https://www.sec.gov/Archives/edgar/data/1027362/000101287000003941/0001012870-00-003941-index.htm,7372
1035656,PLUMTREE SOFTWARE INC,S-1,2000-09-18,1035656_0000929624-00-001327.htm,./data/S-1/2000/QTR3/1035656_0000929624-00-001327,https://www.sec.gov/Archives/edgar/data/1035656/000092962400001327/0000929624-00-001327-index.htm,7371
1037275,DIGITAL INSIGHT CORP,S-1,2000-07-12,1037275_0000944209-00-001125.htm,./data/S-1/2000/QTR3/1037275_0000944209-00-001125,https://www.sec.gov/Archives/edgar/data/1037275/000094420900001125/0000944209-00-001125-index.htm,7389
1041418,LOGICVISION INC,S-1,2000-08-11,1041418_0001012870-00-004333.htm,./data/S-1/2000/QTR3/1041418_0001012870-00-004333,https://www.sec.gov/Archives/edgar/data/1041418/000101287000004333/0001012870-00-004333-index.htm,7372
1045926,REQUISITE TECHNOLOGY INC /CO,S-1,2000-09-05,1045926_0001035704-00-000688.htm,./data/S-1/2000/QTR3/1045926_0001035704-00-000688,https://www.sec.gov/Archives/edgar/data/1045926/000103570400000688/0001035704-00-000688-index.htm,7372
1050025,BRIGHTSTAR INFORMATION TECHNOLOGY GROUP INC,S-1,2000-07-26,1050025_0000950134-00-005972.htm,./data/S-1/2000/QTR3/1050025_0000950134-00-005972,https://www.sec.gov/Archives/edgar/data/1050025/000095013400005972/0000950134-00-005972-index.htm,7373
